race,city,rate
White,Charlotte,3.0
Black,Charlotte,11.6 
White,Portland,4.5
Black,Portland,16.6 
White,St. Louis,4.3
Black,St. Louis,15.8 
White,Memphis,5.0
Black,Memphis,17.5 
White,Washington DC,4.0
Black,Washington DC,13.4 
White,Pittsburgh,4.7
Black,Pittsburgh,15.8 
White,New York,3.2
Black,New York,10.3 
White,Philadelphia,4.7
Black,Philadelphia,13.7 
White,Cleveland,5.6
Black,Cleveland,15.9 
White,Boston,3.6
Black,Boston,10.2 
White,Los Angeles,3.7
Black,Los Angeles,10.3 
White,Chicago,5.1
Black,Chicago,13.7 
White,Baltimore,5.4
Black,Baltimore,14.4 
White,San Francisco,3.4
Black,San Francisco,9.0 
White,Austin,4.5
Black,Austin,11.9 
White,San Antonio,4.0
Black,San Antonio,10.5 
White,Cincinnati,6.7
Black,Cincinnati,17.6 
White,Phoenix,5.7
Black,Phoenix,14.7 
White,Detroit,5.8
Black,Detroit,14.9 
White,Atlanta,4.4
Black,Atlanta,11.3 
White,Miami,3.8
Black,Miami,9.7 
White,Denver,5.5
Black,Denver,13.4 
White,Dallas,5.4
Black,Dallas,12.9 
White,Minneapolis,4.8
Black,Minneapolis,11.5 
White,Indianapolis,7.4
Black,Indianapolis,17.3 
White,Seattle,3.7
Black,Seattle,8.7 
White,Milwaukee,6.2
Black,Milwaukee,14.1 
White,Nashville,5.1
Black,Nashville,11.5 
White,Oklahoma City,7.0
Black,Oklahoma City,15.5 
White,San Diego,4.2
Black,San Diego,8.9 
White,Columbus,6.5
Black,Columbus,13.6 
White,Louisville,4.8
Black,Louisville,9.6 
White,Houston,5.4
Black,Houston,10.5 
White,Kansas City,6.9
Black,Kansas City,12.5