township,total,black,pct_black,pct_dooley
"Airport township",37602,13032,0.3466,0.4377
"Bonhomme township",36318,1346,0.0371,0.1733
"Chesterfield township",38697,778,0.0201,0.1292
"Clayton township",36656,3376,0.0921,0.2395
"Concord township",36581,313,0.0086,0.0925
"Creve Coeur township",37665,5157,0.1369,0.2509
"Ferguson township",34315,22502,0.6557,0.6689
"Florissant township",34086,10629,0.3118,0.3362
"Gravois township",34430,1471,0.0427,0.1115
"Hadley township",34840,4228,0.1214,0.2687
"Jefferson township",35708,1060,0.0297,0.2007
"Lafayette township",33792,963,0.0285,0.1354
"Lemay township",34592,1001,0.0289,0.0902
"Lewis and Clark township",38532,13502,0.3504,0.4415
"Maryland Heights township",37558,3697,0.0984,0.2102
"Meramec township",38207,692,0.0181,0.1043
"Midland township",34075,8357,0.2453,0.364
"Missouri River township",34703,799,0.0230,0.1454
"Normandy township",31282,26403,0.8440,0.7802
"Northwest township",30953,5791,0.1871,0.225
"Norwood township",33326,28505,0.8553,0.7748
"Oakville township",37067,454,0.0122,0.0639
"Queeny township",37714,1555,0.0412,0.1612
"St. Ferdinand township",33875,25580,0.7551,0.6519
"Spanish Lake township",36705,26450,0.7206,0.6794
"Tesson Ferry township",39001,574,0.0147,0.0681
"University township",34154,22682,0.6641,0.6977
"Wildhorse township",37291,647,0.0174,0.14