id,id2,display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
0500000US17001,17001,"Adams County, Illinois",67152,*****,66294,*****,858,*****
0500000US17003,17003,"Alexander County, Illinois",7980,*****,7815,*****,165,*****
0500000US17005,17005,"Bond County, Illinois",17665,*****,17103,*****,562,*****
0500000US17007,17007,"Boone County, Illinois",54068,*****,43143,*****,10925,*****
0500000US17009,17009,"Brown County, Illinois",6904,*****,6560,79,344,79
0500000US17011,17011,"Bureau County, Illinois",34594,*****,31839,*****,2755,*****
0500000US17013,17013,"Calhoun County, Illinois",5062,*****,5049,11,13,11
0500000US17015,17015,"Carroll County, Illinois",15199,*****,14735,*****,464,*****
0500000US17017,17017,"Cass County, Illinois",13530,*****,11161,*****,2369,*****
0500000US17019,17019,"Champaign County, Illinois",202428,*****,191536,*****,10892,*****
0500000US17021,17021,"Christian County, Illinois",34651,*****,34149,*****,502,*****
0500000US17023,17023,"Clark County, Illinois",16284,*****,16087,*****,197,*****
0500000US17025,17025,"Clay County, Illinois",13744,*****,13706,35,38,35
0500000US17027,17027,"Clinton County, Illinois",37891,*****,36798,*****,1093,*****
0500000US17029,17029,"Coles County, Illinois",53732,*****,52545,*****,1187,*****
0500000US17031,17031,"Cook County, Illinois",5212372,*****,3950216,*****,1262156,*****
0500000US17033,17033,"Crawford County, Illinois",19707,*****,19330,*****,377,*****
0500000US17035,17035,"Cumberland County, Illinois",11015,*****,10929,71,86,71
0500000US17037,17037,"DeKalb County, Illinois",104820,*****,93965,*****,10855,*****
0500000US17039,17039,"De Witt County, Illinois",16511,*****,16160,*****,351,*****
0500000US17041,17041,"Douglas County, Illinois",19902,*****,18613,*****,1289,*****
0500000US17043,17043,"DuPage County, Illinois",922803,*****,798114,*****,124689,*****
0500000US17045,17045,"Edgar County, Illinois",18339,*****,18145,*****,194,*****
0500000US17047,17047,"Edwards County, Illinois",6695,*****,6647,31,48,31
0500000US17049,17049,"Effingham County, Illinois",34274,*****,33661,*****,613,*****
0500000US17051,17051,"Fayette County, Illinois",22088,*****,21755,*****,333,*****
0500000US17053,17053,"Ford County, Illinois",13991,*****,13650,*****,341,*****
0500000US17055,17055,"Franklin County, Illinois",39470,*****,38940,*****,530,*****
0500000US17057,17057,"Fulton County, Illinois",36829,*****,35903,*****,926,*****
0500000US17059,17059,"Gallatin County, Illinois",5516,*****,5498,16,18,16
0500000US17061,17061,"Greene County, Illinois",13778,*****,13653,*****,125,*****
0500000US17063,17063,"Grundy County, Illinois",50064,*****,45834,*****,4230,*****
0500000US17065,17065,"Hamilton County, Illinois",8413,*****,8303,*****,110,*****
0500000US17067,17067,"Hancock County, Illinois",18949,*****,18733,*****,216,*****
0500000US17069,17069,"Hardin County, Illinois",4273,*****,4252,25,21,25
0500000US17071,17071,"Henderson County, Illinois",7186,*****,7107,*****,79,*****
0500000US17073,17073,"Henry County, Illinois",50260,*****,47757,*****,2503,*****
0500000US17075,17075,"Iroquois County, Illinois",29446,*****,27751,*****,1695,*****
0500000US17077,17077,"Jackson County, Illinois",60055,*****,57598,*****,2457,*****
0500000US17079,17079,"Jasper County, Illinois",9680,*****,9581,*****,99,*****
0500000US17081,17081,"Jefferson County, Illinois",38769,*****,37922,*****,847,*****
0500000US17083,17083,"Jersey County, Illinois",22850,*****,22604,*****,246,*****
0500000US17085,17085,"Jo Daviess County, Illinois",22602,*****,21947,*****,655,*****
0500000US17087,17087,"Johnson County, Illinois",12665,*****,12376,78,289,78
0500000US17089,17089,"Kane County, Illinois",518380,*****,358692,*****,159688,*****
0500000US17091,17091,"Kankakee County, Illinois",112991,*****,102670,*****,10321,*****
0500000US17093,17093,"Kendall County, Illinois",116366,*****,97823,*****,18543,*****
0500000US17095,17095,"Knox County, Illinois",52545,*****,49917,*****,2628,*****
0500000US17097,17097,"Lake County, Illinois",702099,*****,560561,*****,141538,*****
0500000US17099,17099,"LaSalle County, Illinois",113295,*****,103905,*****,9390,*****
0500000US17101,17101,"Lawrence County, Illinois",16702,*****,15790,238,912,238
0500000US17103,17103,"Lee County, Illinois",35535,*****,33674,*****,1861,*****
0500000US17105,17105,"Livingston County, Illinois",38687,*****,37095,*****,1592,*****
0500000US17107,17107,"Logan County, Illinois",30177,*****,29248,*****,929,*****
0500000US17109,17109,"McDonough County, Illinois",32549,*****,31687,*****,862,*****
0500000US17111,17111,"McHenry County, Illinois",308060,*****,272161,*****,35899,*****
0500000US17113,17113,"McLean County, Illinois",171240,*****,163509,*****,7731,*****
0500000US17115,17115,"Macon County, Illinois",110262,*****,108113,*****,2149,*****
0500000US17117,17117,"Macoupin County, Illinois",47462,*****,47013,*****,449,*****
0500000US17119,17119,"Madison County, Illinois",268373,*****,260753,*****,7620,*****
0500000US17121,17121,"Marion County, Illinois",39070,*****,38474,*****,596,*****
0500000US17123,17123,"Marshall County, Illinois",12454,*****,12115,*****,339,*****
0500000US17125,17125,"Mason County, Illinois",14508,*****,14394,64,114,64
0500000US17127,17127,"Massac County, Illinois",15282,*****,15215,53,67,53
0500000US17129,17129,"Menard County, Illinois",12687,*****,12549,*****,138,*****
0500000US17131,17131,"Mercer County, Illinois",16325,*****,16008,*****,317,*****
0500000US17133,17133,"Monroe County, Illinois",33181,*****,32700,*****,481,*****
0500000US17135,17135,"Montgomery County, Illinois",29878,*****,29167,199,711,199
0500000US17137,17137,"Morgan County, Illinois",35424,*****,34683,*****,741,*****
0500000US17139,17139,"Moultrie County, Illinois",14869,*****,14718,*****,151,*****
0500000US17141,17141,"Ogle County, Illinois",53092,*****,48306,*****,4786,*****
0500000US17143,17143,"Peoria County, Illinois",187117,*****,179551,*****,7566,*****
0500000US17145,17145,"Perry County, Illinois",22182,*****,21552,*****,630,*****
0500000US17147,17147,"Piatt County, Illinois",16620,*****,16447,*****,173,*****
0500000US17149,17149,"Pike County, Illinois",16337,*****,16148,*****,189,*****
0500000US17151,17151,"Pope County, Illinois",4383,*****,4268,26,115,26
0500000US17153,17153,"Pulaski County, Illinois",6035,*****,5934,*****,101,*****
0500000US17155,17155,"Putnam County, Illinois",5927,*****,5653,*****,274,*****
0500000US17157,17157,"Randolph County, Illinois",33218,*****,32332,*****,886,*****
0500000US17159,17159,"Richland County, Illinois",16213,*****,16071,86,142,86
0500000US17161,17161,"Rock Island County, Illinois",147477,*****,130033,*****,17444,*****
0500000US17163,17163,"St. Clair County, Illinois",268939,*****,259742,*****,9197,*****
0500000US17165,17165,"Saline County, Illinois",24950,*****,24586,*****,364,*****
0500000US17167,17167,"Sangamon County, Illinois",198269,*****,194471,*****,3798,*****
0500000US17169,17169,"Schuyler County, Illinois",7490,*****,7369,*****,121,*****
0500000US17171,17171,"Scott County, Illinois",5288,*****,5281,10,7,10
0500000US17173,17173,"Shelby County, Illinois",22266,*****,22077,*****,189,*****
0500000US17175,17175,"Stark County, Illinois",5942,*****,5879,*****,63,*****
0500000US17177,17177,"Stephenson County, Illinois",47315,*****,45871,*****,1444,*****
0500000US17179,17179,"Tazewell County, Illinois",135747,*****,133042,*****,2705,*****
0500000US17181,17181,"Union County, Illinois",17722,*****,16851,*****,871,*****
0500000US17183,17183,"Vermilion County, Illinois",81147,*****,77575,*****,3572,*****
0500000US17185,17185,"Wabash County, Illinois",11848,*****,11691,*****,157,*****
0500000US17187,17187,"Warren County, Illinois",17762,*****,16239,*****,1523,*****
0500000US17189,17189,"Washington County, Illinois",14626,*****,14410,*****,216,*****
0500000US17191,17191,"Wayne County, Illinois",16674,*****,16476,*****,198,*****
0500000US17193,17193,"White County, Illinois",14630,*****,14462,*****,168,*****
0500000US17195,17195,"Whiteside County, Illinois",58150,*****,51595,*****,6555,*****
0500000US17197,17197,"Will County, Illinois",679688,*****,571858,*****,107830,*****
0500000US17199,17199,"Williamson County, Illinois",66606,*****,65225,*****,1381,*****
0500000US17201,17201,"Winnebago County, Illinois",293384,*****,260436,*****,32948,*****
0500000US17203,17203,"Woodford County, Illinois",38903,*****,38319,*****,584,*****
0500000US29001,29001,"Adair County, Missouri",25573,*****,25011,*****,562,*****
0500000US29003,29003,"Andrew County, Missouri",17319,*****,16983,*****,336,*****
0500000US29005,29005,"Atchison County, Missouri",5605,*****,5545,*****,60,*****
0500000US29007,29007,"Audrain County, Missouri",25584,*****,24903,*****,681,*****
0500000US29009,29009,"Barry County, Missouri",35614,*****,32792,*****,2822,*****
0500000US29011,29011,"Barton County, Missouri",12378,*****,12119,*****,259,*****
0500000US29013,29013,"Bates County, Missouri",16878,*****,16567,*****,311,*****
0500000US29015,29015,"Benton County, Missouri",19008,*****,18701,*****,307,*****
0500000US29017,29017,"Bollinger County, Missouri",12408,*****,12301,*****,107,*****
0500000US29019,29019,"Boone County, Missouri",165776,*****,160648,*****,5128,*****
0500000US29021,29021,"Buchanan County, Missouri",89419,*****,84511,*****,4908,*****
0500000US29023,29023,"Butler County, Missouri",42946,*****,42239,*****,707,*****
0500000US29025,29025,"Caldwell County, Missouri",9249,*****,9093,*****,156,*****
0500000US29027,29027,"Callaway County, Missouri",44276,*****,43524,*****,752,*****
0500000US29029,29029,"Camden County, Missouri",43822,*****,42772,*****,1050,*****
0500000US29031,29031,"Cape Girardeau County, Missouri",76322,*****,74737,*****,1585,*****
0500000US29033,29033,"Carroll County, Missouri",9216,*****,9095,*****,121,*****
0500000US29035,29035,"Carter County, Missouri",6260,*****,6170,82,90,82
0500000US29037,29037,"Cass County, Missouri",99875,*****,95821,*****,4054,*****
0500000US29039,29039,"Cedar County, Missouri",13903,*****,13754,132,149,132
0500000US29041,29041,"Chariton County, Missouri",7730,*****,7680,*****,50,*****
0500000US29043,29043,"Christian County, Missouri",78724,*****,76682,*****,2042,*****
0500000US29045,29045,"Clark County, Missouri",7035,*****,6995,25,40,25
0500000US29047,29047,"Clay County, Missouri",225116,*****,211421,*****,13695,*****
0500000US29049,29049,"Clinton County, Missouri",20659,*****,20308,*****,351,*****
0500000US29051,29051,"Cole County, Missouri",76228,*****,74305,*****,1923,*****
0500000US29053,29053,"Cooper County, Missouri",17574,*****,17328,*****,246,*****
0500000US29055,29055,"Crawford County, Missouri",24711,*****,24321,*****,390,*****
0500000US29057,29057,"Dade County, Missouri",7734,*****,7608,*****,126,*****
0500000US29059,29059,"Dallas County, Missouri",16733,*****,16453,*****,280,*****
0500000US29061,29061,"Daviess County, Missouri",8347,*****,8247,*****,100,*****
0500000US29063,29063,"DeKalb County, Missouri",12873,*****,12638,*****,235,*****
0500000US29065,29065,"Dent County, Missouri",15649,*****,15474,*****,175,*****
0500000US29067,29067,"Douglas County, Missouri",13647,*****,13524,*****,123,*****
0500000US29069,29069,"Dunklin County, Missouri",31916,*****,30087,*****,1829,*****
0500000US29071,29071,"Franklin County, Missouri",101569,*****,100089,*****,1480,*****
0500000US29073,29073,"Gasconade County, Missouri",15083,*****,14914,*****,169,*****
0500000US29075,29075,"Gentry County, Missouri",6774,*****,6728,*****,46,*****
0500000US29077,29077,"Greene County, Missouri",278231,*****,269555,*****,8676,*****
0500000US29079,29079,"Grundy County, Missouri",10282,*****,10183,63,99,63
0500000US29081,29081,"Harrison County, Missouri",8871,*****,8720,*****,151,*****
0500000US29083,29083,"Henry County, Missouri",22183,*****,21784,*****,399,*****
0500000US29085,29085,"Hickory County, Missouri",9499,*****,9388,*****,111,*****
0500000US29087,29087,"Holt County, Missouri",4771,*****,4759,9,12,9
0500000US29089,29089,"Howard County, Missouri",10184,*****,10052,*****,132,*****
0500000US29091,29091,"Howell County, Missouri",40458,*****,39741,*****,717,*****
0500000US29093,29093,"Iron County, Missouri",10505,*****,10362,*****,143,*****
0500000US29095,29095,"Jackson County, Missouri",675641,*****,618844,*****,56797,*****
0500000US29097,29097,"Jasper County, Missouri",116803,*****,108607,*****,8196,*****
0500000US29099,29099,"Jefferson County, Missouri",219636,*****,216063,*****,3573,*****
0500000US29101,29101,"Johnson County, Missouri",53517,*****,51712,*****,1805,*****
0500000US29103,29103,"Knox County, Missouri",4099,*****,4085,18,14,18
0500000US29105,29105,"Laclede County, Missouri",35535,*****,34795,*****,740,*****
0500000US29107,29107,"Lafayette County, Missouri",33188,*****,32408,*****,780,*****
0500000US29109,29109,"Lawrence County, Missouri",38488,*****,35977,*****,2511,*****
0500000US29111,29111,"Lewis County, Missouri",10193,*****,10028,*****,165,*****
0500000US29113,29113,"Lincoln County, Missouri",53051,*****,51967,*****,1084,*****
0500000US29115,29115,"Linn County, Missouri",12592,*****,12387,*****,205,*****
0500000US29117,29117,"Livingston County, Missouri",15051,*****,14858,*****,193,*****
0500000US29119,29119,"McDonald County, Missouri",22892,*****,20315,*****,2577,*****
0500000US29121,29121,"Macon County, Missouri",15545,*****,15379,*****,166,*****
0500000US29123,29123,"Madison County, Missouri",12350,*****,12110,*****,240,*****
0500000US29125,29125,"Maries County, Missouri",9102,*****,9012,*****,90,*****
0500000US29127,29127,"Marion County, Missouri",28804,*****,28390,*****,414,*****
0500000US29129,29129,"Mercer County, Missouri",3749,*****,3710,23,39,23
0500000US29131,29131,"Miller County, Missouri",24863,*****,24487,*****,376,*****
0500000US29133,29133,"Mississippi County, Missouri",14271,*****,14018,*****,253,*****
0500000US29135,29135,"Moniteau County, Missouri",15657,*****,15017,*****,640,*****
0500000US29137,29137,"Monroe County, Missouri",8798,*****,8749,41,49,41
0500000US29139,29139,"Montgomery County, Missouri",12128,*****,11946,*****,182,*****
0500000US29141,29141,"Morgan County, Missouri",20392,*****,20022,*****,370,*****
0500000US29143,29143,"New Madrid County, Missouri",18695,*****,18451,*****,244,*****
0500000US29145,29145,"Newton County, Missouri",58552,*****,55864,*****,2688,*****
0500000US29147,29147,"Nodaway County, Missouri",23347,*****,22875,103,472,103
0500000US29149,29149,"Oregon County, Missouri",10935,*****,10788,*****,147,*****
0500000US29151,29151,"Osage County, Missouri",13842,*****,13754,*****,88,*****
0500000US29153,29153,"Ozark County, Missouri",9653,*****,9515,*****,138,*****
0500000US29155,29155,"Pemiscot County, Missouri",18160,*****,17780,*****,380,*****
0500000US29157,29157,"Perry County, Missouri",19001,*****,18649,*****,352,*****
0500000US29159,29159,"Pettis County, Missouri",42146,*****,38952,*****,3194,*****
0500000US29161,29161,"Phelps County, Missouri",44969,*****,43989,*****,980,*****
0500000US29163,29163,"Pike County, Missouri",18579,*****,18214,*****,365,*****
0500000US29165,29165,"Platte County, Missouri",90842,*****,86087,*****,4755,*****
0500000US29167,29167,"Polk County, Missouri",31088,*****,30474,*****,614,*****
0500000US29169,29169,"Pulaski County, Missouri",52795,*****,47765,*****,5030,*****
0500000US29171,29171,"Putnam County, Missouri",4944,*****,4902,*****,42,*****
0500000US29173,29173,"Ralls County, Missouri",10206,*****,10095,*****,111,*****
0500000US29175,29175,"Randolph County, Missouri",25253,*****,24820,*****,433,*****
0500000US29177,29177,"Ray County, Missouri",23290,*****,22832,*****,458,*****
0500000US29179,29179,"Reynolds County, Missouri",6661,*****,6549,28,112,28
0500000US29181,29181,"Ripley County, Missouri",14071,*****,13917,*****,154,*****
0500000US29183,29183,"St. Charles County, Missouri",365101,*****,354583,*****,10518,*****
0500000US29185,29185,"St. Clair County, Missouri",9649,*****,9469,*****,180,*****
0500000US29186,29186,"Ste. Genevieve County, Missouri",17996,*****,17838,*****,158,*****
0500000US29187,29187,"St. Francois County, Missouri",65602,*****,64764,*****,838,*****
0500000US29189,29189,"St. Louis County, Missouri",999725,*****,974247,*****,25478,*****
0500000US29195,29195,"Saline County, Missouri",23324,*****,21294,*****,2030,*****
0500000US29197,29197,"Schuyler County, Missouri",4397,*****,4389,9,8,9
0500000US29199,29199,"Scotland County, Missouri",4859,*****,4784,15,75,15
0500000US29201,29201,"Scott County, Missouri",39216,*****,38461,*****,755,*****
0500000US29203,29203,"Shannon County, Missouri",8388,*****,8239,*****,149,*****
0500000US29205,29205,"Shelby County, Missouri",6274,*****,6224,33,50,33
0500000US29207,29207,"Stoddard County, Missouri",29860,*****,29467,*****,393,*****
0500000US29209,29209,"Stone County, Missouri",31817,*****,31243,*****,574,*****
0500000US29211,29211,"Sullivan County, Missouri",6611,*****,5396,*****,1215,*****
0500000US29213,29213,"Taney County, Missouri",52412,*****,49780,*****,2632,*****
0500000US29215,29215,"Texas County, Missouri",25830,*****,25368,*****,462,*****
0500000US29217,29217,"Vernon County, Missouri",20990,*****,20624,*****,366,*****
0500000US29219,29219,"Warren County, Missouri",32667,*****,31685,*****,982,*****
0500000US29221,29221,"Washington County, Missouri",25135,*****,24861,*****,274,*****
0500000US29223,29223,"Wayne County, Missouri",13437,*****,13282,*****,155,*****
0500000US29225,29225,"Webster County, Missouri",36274,*****,35647,*****,627,*****
0500000US29227,29227,"Worth County, Missouri",2129,*****,2106,28,23,28
0500000US29229,29229,"Wright County, Missouri",18643,*****,18371,*****,272,*****
0500000US29510,29510,"St. Louis city, Missouri",318955,*****,307565,*****,11390,*****
