slug,race,candidate,party,votes,party_total_votes,reported_pct,race_status,race_total_votes
u-s-senator,U.S. Senator,Tony Monetti,Republican,"64,718","663,553",9.753,3228 of 3228 Precincts Reported,"1,275,981"
u-s-senator,U.S. Senator,Austin Petersen,Republican,"54,810","663,553",8.260,3228 of 3228 Precincts Reported,"1,275,981"
u-s-senator,U.S. Senator,Josh Hawley,Republican,"389,006","663,553",58.625,3228 of 3228 Precincts Reported,"1,275,981"
u-s-senator,U.S. Senator,Fred Ryman,Republican,"8,763","663,553",1.321,3228 of 3228 Precincts Reported,"1,275,981"
u-s-senator,U.S. Senator,Christina Smith,Republican,"34,948","663,553",5.267,3228 of 3228 Precincts Reported,"1,275,981"
u-s-senator,U.S. Senator,Kristi Nichols,Republican,"49,554","663,553",7.468,3228 of 3228 Precincts Reported,"1,275,981"
u-s-senator,U.S. Senator,Bradley Krembs,Republican,"4,885","663,553",0.736,3228 of 3228 Precincts Reported,"1,275,981"
u-s-senator,U.S. Senator,Ken Patterson,Republican,"19,537","663,553",2.944,3228 of 3228 Precincts Reported,"1,275,981"
u-s-senator,U.S. Senator,Brian G. Hagg,Republican,"6,913","663,553",1.042,3228 of 3228 Precincts Reported,"1,275,981"
u-s-senator,U.S. Senator,Courtland Sykes,Republican,"13,862","663,553",2.089,3228 of 3228 Precincts Reported,"1,275,981"
u-s-senator,U.S. Senator,Peter Pfeifer,Republican,"16,557","663,553",2.495,3228 of 3228 Precincts Reported,"1,275,981"
u-s-senator,U.S. Senator,Carla (Coffee) Wright,Democratic,"40,971","605,503",6.766,3228 of 3228 Precincts Reported,"1,275,981"
u-s-senator,U.S. Senator,Angelica Earl,Democratic,"15,453","605,503",2.552,3228 of 3228 Precincts Reported,"1,275,981"
u-s-senator,U.S. Senator,Leonard Joseph Steinman II,Democratic,"7,634","605,503",1.261,3228 of 3228 Precincts Reported,"1,275,981"
u-s-senator,U.S. Senator,John Hogan,Democratic,"15,928","605,503",2.631,3228 of 3228 Precincts Reported,"1,275,981"
u-s-senator,U.S. Senator,Travis Gonzalez,Democratic,"9,453","605,503",1.561,3228 of 3228 Precincts Reported,"1,275,981"
u-s-senator,U.S. Senator,David Faust,Democratic,"15,902","605,503",2.626,3228 of 3228 Precincts Reported,"1,275,981"
u-s-senator,U.S. Senator,Claire McCaskill,Democratic,"500,162","605,503",82.603,3228 of 3228 Precincts Reported,"1,275,981"
u-s-senator,U.S. Senator,Japheth Campbell,Libertarian,"5,357","5,357",100.000,3228 of 3228 Precincts Reported,"1,275,981"
u-s-senator,U.S. Senator,Jo Crain,Green,902,"1,568",57.526,3228 of 3228 Precincts Reported,"1,275,981"
u-s-senator,U.S. Senator,Jerome Bauer,Green,666,"1,568",42.474,3228 of 3228 Precincts Reported,"1,275,981"
state-auditor,State Auditor,Kevin M. Roach,Republican,"143,745","591,685",24.294,3228 of 3228 Precincts Reported,"1,115,077"
state-auditor,State Auditor,David Wasinger,Republican,"158,071","591,685",26.715,3228 of 3228 Precincts Reported,"1,115,077"
state-auditor,State Auditor,Paul Curtman,Republican,"97,055","591,685",16.403,3228 of 3228 Precincts Reported,"1,115,077"
state-auditor,State Auditor,Saundra McDowell,Republican,"192,814","591,685",32.587,3228 of 3228 Precincts Reported,"1,115,077"
state-auditor,State Auditor,Nicole Galloway,Democratic,"515,398","515,398",100.000,3228 of 3228 Precincts Reported,"1,115,077"
state-auditor,State Auditor,Sean O'Toole,Libertarian,"5,421","5,421",100.000,3228 of 3228 Precincts Reported,"1,115,077"
state-auditor,State Auditor,Don Fitz,Green,"1,485","1,485",100.000,3228 of 3228 Precincts Reported,"1,115,077"
state-auditor,State Auditor,Jacob Luetkemeyer,Constitution,"1,088","1,088",100.000,3228 of 3228 Precincts Reported,"1,115,077"
u-s-representative-district-1,U.S. Representative - District 1,Robert Vroman,Republican,"5,095","14,779",34.475,481 of 481 Precincts Reported,"158,927"
u-s-representative-district-1,U.S. Representative - District 1,Lacy Clay,Democratic,"81,426","143,670",56.676,481 of 481 Precincts Reported,"158,927"
u-s-representative-district-1,U.S. Representative - District 1,Robb Cunningham,Libertarian,478,478,100.000,481 of 481 Precincts Reported,"158,927"
u-s-representative-district-2,U.S. Representative - District 2,Ann Wagner,Republican,"72,173","80,288",89.893,450 of 450 Precincts Reported,"189,979"
u-s-representative-district-2,U.S. Representative - District 2,Cort VanOstran,Democratic,"245,248","108,612",41.660,450 of 450 Precincts Reported,"189,979"
u-s-representative-district-2,U.S. Representative - District 2,Larry A. Kirk,Libertarian,905,905,100.000,450 of 450 Precincts Reported,"189,979"
u-s-representative-district-2,U.S. Representative - District 2,David Justus Arnold,Green,174,174,100.000,450 of 450 Precincts Reported,"189,979"
u-s-representative-district-3,U.S. Representative - District 3,Blaine Luetkemeyer,Republican,"95,385","119,385",79.897,340 of 340 Precincts Reported,"175,945"
u-s-representative-district-3,U.S. Representative - District 3,Katy Geppert,Democratic,"55,815","55,815",100.000,340 of 340 Precincts Reported,"175,945"
u-s-representative-district-3,U.S. Representative - District 3,Donald V. Stolle,Libertarian,745,745,100.000,340 of 340 Precincts Reported,"175,945"
u-s-representative-district-4,U.S. Representative - District 4,Vicky Hartzler,Republican,"74,226","101,013",73.482,363 of 363 Precincts Reported,"148,260"
u-s-representative-district-4,U.S. Representative - District 4,Renee Hoagenson,Democratic,"24,139","46,537",51.871,363 of 363 Precincts Reported,"148,260"
u-s-representative-district-4,U.S. Representative - District 4,Mark Bliss,Libertarian,398,710,56.056,363 of 363 Precincts Reported,"148,260"
u-s-representative-district-5,U.S. Representative - District 5,Jacob Turk,Republican,"35,883","47,773",75.111,360 of 360 Precincts Reported,"136,631"
u-s-representative-district-5,U.S. Representative - District 5,"Emanuel Cleaver, II",Democratic,"87,449","87,449",100.000,360 of 360 Precincts Reported,"136,631"
u-s-representative-district-5,U.S. Representative - District 5,Alexander Howell,Libertarian,512,910,56.264,360 of 360 Precincts Reported,"136,631"
u-s-representative-district-5,U.S. Representative - District 5,Maurice Copeland,Green,315,315,100.000,360 of 360 Precincts Reported,"136,631"
u-s-representative-district-5,U.S. Representative - District 5,E. C. Fredland,Constitution,184,184,100.000,360 of 360 Precincts Reported,"136,631"
u-s-representative-district-6,U.S. Representative - District 6,Sam Graves,Republican,"89,595","89,595",100.000,472 of 472 Precincts Reported,"142,402"
u-s-representative-district-6,U.S. Representative - District 6,Henry Robert Martin,Democratic,"21,677","52,217",41.513,472 of 472 Precincts Reported,"142,402"
u-s-representative-district-6,U.S. Representative - District 6,Dan Hogan,Libertarian,590,590,100.000,472 of 472 Precincts Reported,"142,402"
u-s-representative-district-7,U.S. Representative - District 7,Billy Long,Republican,"68,438","105,121",65.104,340 of 340 Precincts Reported,"136,594"
u-s-representative-district-7,U.S. Representative - District 7,Jamie Daniel Schoolcraft,Democratic,"12,499","30,776",40.613,340 of 340 Precincts Reported,"136,594"
u-s-representative-district-7,U.S. Representative - District 7,Benjamin T. Brixey,Libertarian,697,697,100.000,340 of 340 Precincts Reported,"136,594"
u-s-representative-district-8,U.S. Representative - District 8,Jason Smith,Republican,"91,809","91,809",100.000,450 of 450 Precincts Reported,"125,969"
u-s-representative-district-8,U.S. Representative - District 8,Kathy Ellis,Democratic,"33,799","33,799",100.000,450 of 450 Precincts Reported,"125,969"
u-s-representative-district-8,U.S. Representative - District 8,Jonathan L. Shell,Libertarian,361,361,100.000,450 of 450 Precincts Reported,"125,969"
state-senator-district-2,State Senator - District 2,Bob Onder,Republican,"21,842","21,842",100.000,64 of 64 Precincts Reported,"38,547"
state-senator-district-2,State Senator - District 2,Patrice Billings,Democratic,"16,705","16,705",100.000,64 of 64 Precincts Reported,"38,547"
state-senator-district-4,State Senator - District 4,Robert J. Crump,Republican,"4,731","4,731",100.000,119 of 119 Precincts Reported,"40,072"
state-senator-district-4,State Senator - District 4,Karla May,Democratic,"20,204","35,341",57.169,119 of 119 Precincts Reported,"40,072"
state-senator-district-4,State Senator - District 4,Jacob W. Hummel,Democratic,"15,137","35,341",42.831,119 of 119 Precincts Reported,"40,072"
state-senator-district-6,State Senator - District 6,Mike Bernskoetter,Republican,"27,682","27,682",100.000,109 of 109 Precincts Reported,"36,613"
state-senator-district-6,State Senator - District 6,Bryan Struebig,Democratic,"1,938","8,827",21.955,109 of 109 Precincts Reported,"36,613"
state-senator-district-6,State Senator - District 6,Nicole Thompson,Democratic,"4,775","8,827",54.095,109 of 109 Precincts Reported,"36,613"
state-senator-district-6,State Senator - District 6,Mollie Kristen Freebairn,Democratic,"2,114","8,827",23.949,109 of 109 Precincts Reported,"36,613"
state-senator-district-6,State Senator - District 6,Steven Wilson,Libertarian,104,104,100.000,109 of 109 Precincts Reported,"36,613"
state-senator-district-8,State Senator - District 8,Mike Cierpiot,Republican,"16,835","18,910",89.027,87 of 87 Precincts Reported,"34,995"
state-senator-district-8,State Senator - District 8,Leonard Jonas Hughes IV,Republican,"2,075","18,910",10.973,87 of 87 Precincts Reported,"34,995"
state-senator-district-8,State Senator - District 8,Hillary Shields,Democratic,"16,085","16,085",100.000,87 of 87 Precincts Reported,"34,995"
state-senator-district-10,State Senator - District 10,Jeanie Riddle,Republican,"26,420","26,420",100.000,104 of 104 Precincts Reported,"36,865"
state-senator-district-10,State Senator - District 10,Ayanna Shivers,Democratic,"10,445","10,445",100.000,104 of 104 Precincts Reported,"36,865"
state-senator-district-12,State Senator - District 12,Dan Hegeman,Republican,"23,749","23,749",100.000,156 of 156 Precincts Reported,"32,663"
state-senator-district-12,State Senator - District 12,Terry Richard,Democratic,"8,914","8,914",100.000,156 of 156 Precincts Reported,"32,663"
state-senator-district-14,State Senator - District 14,Sharon L. Pace,Democratic,"11,753","31,317",37.529,111 of 111 Precincts Reported,"31,317"
state-senator-district-14,State Senator - District 14,Brian Williams,Democratic,"12,591","31,317",40.205,111 of 111 Precincts Reported,"31,317"
state-senator-district-14,State Senator - District 14,Joe Adams,Democratic,"6,973","31,317",22.266,111 of 111 Precincts Reported,"31,317"
state-senator-district-16,State Senator - District 16,Justin Dan Brown,Republican,"10,528","26,268",40.079,71 of 71 Precincts Reported,"32,277"
state-senator-district-16,State Senator - District 16,Diane Franklin,Republican,"9,243","26,268",35.187,71 of 71 Precincts Reported,"32,277"
state-senator-district-16,State Senator - District 16,Keith Frederick,Republican,"6,497","26,268",24.734,71 of 71 Precincts Reported,"32,277"
state-senator-district-16,State Senator - District 16,Ryan Dillon,Democratic,"6,009","6,009",100.000,71 of 71 Precincts Reported,"32,277"
state-senator-district-18,State Senator - District 18,Lindell F Shumake,Republican,"4,489","26,935",16.666,146 of 146 Precincts Reported,"36,664"
state-senator-district-18,State Senator - District 18,Craig Redmon,Republican,"7,229","26,935",26.839,146 of 146 Precincts Reported,"36,664"
state-senator-district-18,State Senator - District 18,Cindy O'Laughlin,Republican,"9,881","26,935",36.685,146 of 146 Precincts Reported,"36,664"
state-senator-district-18,State Senator - District 18,Nate Walker,Republican,"5,336","26,935",19.811,146 of 146 Precincts Reported,"36,664"
state-senator-district-18,State Senator - District 18,Crystal Stephens,Democratic,"9,729","9,729",100.000,146 of 146 Precincts Reported,"36,664"
state-senator-district-20,State Senator - District 20,Eric W. Burlison,Republican,"24,933","24,933",100.000,63 of 63 Precincts Reported,"32,791"
state-senator-district-20,State Senator - District 20,Jim Billedo,Democratic,"7,858","7,858",100.000,63 of 63 Precincts Reported,"32,791"
state-senator-district-22,State Senator - District 22,Paul Wieland,Republican,"18,376","18,376",100.000,43 of 43 Precincts Reported,"34,673"
state-senator-district-22,State Senator - District 22,Robert Butler,Democratic,"10,702","15,988",66.938,43 of 43 Precincts Reported,"34,673"
state-senator-district-22,State Senator - District 22,Edward Thurman,Democratic,"5,286","15,988",33.062,43 of 43 Precincts Reported,"34,673"
state-senator-district-22,State Senator - District 22,Richie Camden,Libertarian,309,309,100.000,43 of 43 Precincts Reported,"34,673"
state-senator-district-24,State Senator - District 24,Gregory B. Powers,Republican,"11,182","11,182",100.000,148 of 148 Precincts Reported,"38,825"
state-senator-district-24,State Senator - District 24,Jill Schupp,Democratic,"27,419","27,419",100.000,148 of 148 Precincts Reported,"38,825"
state-senator-district-24,State Senator - District 24,Jim Higgins,Libertarian,224,224,100.000,148 of 148 Precincts Reported,"38,825"
state-senator-district-26,State Senator - District 26,Dave Schatz,Republican,"24,983","24,983",100.000,101 of 101 Precincts Reported,"38,923"
state-senator-district-26,State Senator - District 26,John Kiehne,Democratic,"13,940","13,940",100.000,101 of 101 Precincts Reported,"38,923"
state-senator-district-28,State Senator - District 28,Sandy Crawford,Republican,"26,235","26,235",100.000,107 of 107 Precincts Reported,"32,823"
state-senator-district-28,State Senator - District 28,Joe Poor,Democratic,"6,588","6,588",100.000,107 of 107 Precincts Reported,"32,823"
state-senator-district-30,State Senator - District 30,Lincoln Hough,Republican,"15,597","15,597",100.000,84 of 84 Precincts Reported,"27,964"
state-senator-district-30,State Senator - District 30,Charlie Norr,Democratic,"12,367","12,367",100.000,84 of 84 Precincts Reported,"27,964"
state-senator-district-32,State Senator - District 32,Bill White,Republican,"17,473","27,236",64.154,81 of 81 Precincts Reported,"32,437"
state-senator-district-32,State Senator - District 32,Rob O'Brian,Republican,"9,763","27,236",35.846,81 of 81 Precincts Reported,"32,437"
state-senator-district-32,State Senator - District 32,Carolyn McGowan,Democratic,"5,117","5,117",100.000,81 of 81 Precincts Reported,"32,437"
state-senator-district-32,State Senator - District 32,Conon Gillis,Green,84,84,100.000,81 of 81 Precincts Reported,"32,437"
state-senator-district-34,State Senator - District 34,Tony Luetkemeyer,Republican,"11,678","21,761",53.665,54 of 54 Precincts Reported,"36,792"
state-senator-district-34,State Senator - District 34,Harry Roberts,Republican,"10,083","21,761",46.335,54 of 54 Precincts Reported,"36,792"
state-senator-district-34,State Senator - District 34,Martin T. Rucker II,Democratic,"15,031","15,031",100.000,54 of 54 Precincts Reported,"36,792"
state-representative-district-1,State Representative - District 1,Allen Andrews,Republican,"4,708","4,708",100.000,37 of 37 Precincts Reported,"6,007"
state-representative-district-1,State Representative - District 1,Paul Taylor,Democratic,"1,299","1,299",100.000,37 of 37 Precincts Reported,"6,007"
state-representative-district-2,State Representative - District 2,J. Eggleston,Republican,"5,037","6,266",80.386,34 of 34 Precincts Reported,"6,266"
state-representative-district-2,State Representative - District 2,Amy Babcock,Republican,"1,229","6,266",19.614,34 of 34 Precincts Reported,"6,266"
state-representative-district-3,State Representative - District 3,Danny Busick,Republican,"3,460","3,460",100.000,41 of 41 Precincts Reported,"4,649"
state-representative-district-3,State Representative - District 3,Joni Perry,Democratic,"1,189","1,189",100.000,41 of 41 Precincts Reported,"4,649"
state-representative-district-4,State Representative - District 4,Greg Sharpe,Republican,"4,249","4,249",100.000,39 of 39 Precincts Reported,"4,249"
state-representative-district-5,State Representative - District 5,Neal R. Minor,Republican,"1,024","6,032",16.976,30 of 30 Precincts Reported,"8,044"
state-representative-district-5,State Representative - District 5,Louis Riggs,Republican,"3,069","6,032",50.879,30 of 30 Precincts Reported,"8,044"
state-representative-district-5,State Representative - District 5,Loren L. Graham,Republican,"1,617","6,032",26.807,30 of 30 Precincts Reported,"8,044"
state-representative-district-5,State Representative - District 5,John Paul Tomko,Republican,322,"6,032",5.338,30 of 30 Precincts Reported,"8,044"
state-representative-district-5,State Representative - District 5,Joe Frese,Democratic,"2,012","2,012",100.000,30 of 30 Precincts Reported,"8,044"
state-representative-district-6,State Representative - District 6,Tim Remole,Republican,"5,740","5,740",100.000,36 of 36 Precincts Reported,"7,631"
state-representative-district-6,State Representative - District 6,Mitch Wrenn,Democratic,"1,891","1,891",100.000,36 of 36 Precincts Reported,"7,631"
state-representative-district-7,State Representative - District 7,Rusty Black,Republican,"4,054","4,054",100.000,35 of 35 Precincts Reported,"5,949"
state-representative-district-7,State Representative - District 7,Dennis VanDyke,Democratic,"1,895","1,895",100.000,35 of 35 Precincts Reported,"5,949"
state-representative-district-8,State Representative - District 8,James W. (Jim) Neely,Republican,"5,106","5,106",100.000,24 of 24 Precincts Reported,"7,680"
state-representative-district-8,State Representative - District 8,Caleb McKnight,Democratic,"2,574","2,574",100.000,24 of 24 Precincts Reported,"7,680"
state-representative-district-9,State Representative - District 9,Sheila Solon,Republican,"2,854","6,993",40.812,31 of 31 Precincts Reported,"9,259"
state-representative-district-9,State Representative - District 9,Tina Goodrick,Republican,565,"6,993",8.080,31 of 31 Precincts Reported,"9,259"
state-representative-district-9,State Representative - District 9,Christopher Evans,Republican,"1,013","6,993",14.486,31 of 31 Precincts Reported,"9,259"
state-representative-district-9,State Representative - District 9,Mik Chester,Republican,"2,561","6,993",36.622,31 of 31 Precincts Reported,"9,259"
state-representative-district-9,State Representative - District 9,Bob Bergland,Democratic,"2,266","2,266",100.000,31 of 31 Precincts Reported,"9,259"
state-representative-district-10,State Representative - District 10,Bill Falkner,Republican,"2,229","3,092",72.089,12 of 12 Precincts Reported,"5,504"
state-representative-district-10,State Representative - District 10,Billy Babcock,Republican,863,"3,092",27.911,12 of 12 Precincts Reported,"5,504"
state-representative-district-10,State Representative - District 10,Shane R. Thompson,Democratic,"1,227","2,412",50.871,12 of 12 Precincts Reported,"5,504"
state-representative-district-10,State Representative - District 10,Austin Montee,Democratic,"1,185","2,412",49.129,12 of 12 Precincts Reported,"5,504"
state-representative-district-11,State Representative - District 11,Lloyd Buck Graham,Republican,776,"4,730",16.406,20 of 20 Precincts Reported,"7,530"
state-representative-district-11,State Representative - District 11,Chris Shove,Republican,776,"4,730",16.406,20 of 20 Precincts Reported,"7,530"
state-representative-district-11,State Representative - District 11,Brenda Shields,Republican,"3,178","4,730",67.188,20 of 20 Precincts Reported,"7,530"
state-representative-district-11,State Representative - District 11,Brady Lee O'Dell,Democratic,"2,800","2,800",100.000,20 of 20 Precincts Reported,"7,530"
state-representative-district-12,State Representative - District 12,Kenneth Wilson,Republican,"4,049","4,049",100.000,17 of 17 Precincts Reported,"7,137"
state-representative-district-12,State Representative - District 12,Sandy Van Wagner,Democratic,"3,088","3,088",100.000,17 of 17 Precincts Reported,"7,137"
state-representative-district-13,State Representative - District 13,Vic Allred,Republican,"3,199","3,199",100.000,12 of 12 Precincts Reported,"6,791"
state-representative-district-13,State Representative - District 13,Mitch Weber,Democratic,"3,592","3,592",100.000,12 of 12 Precincts Reported,"6,791"
state-representative-district-14,State Representative - District 14,Kevin Corlew,Republican,"2,530","2,530",100.000,14 of 14 Precincts Reported,"6,509"
state-representative-district-14,State Representative - District 14,Matt Sain,Democratic,"3,979","3,979",100.000,14 of 14 Precincts Reported,"6,509"
state-representative-district-15,State Representative - District 15,Steve West,Republican,"1,485","3,003",49.451,17 of 17 Precincts Reported,"6,760"
state-representative-district-15,State Representative - District 15,Simon T Abela,Republican,422,"3,003",14.053,17 of 17 Precincts Reported,"6,760"
state-representative-district-15,State Representative - District 15,Timothy Harris,Republican,733,"3,003",24.409,17 of 17 Precincts Reported,"6,760"
state-representative-district-15,State Representative - District 15,J. Ranen Bechthold,Republican,363,"3,003",12.088,17 of 17 Precincts Reported,"6,760"
state-representative-district-15,State Representative - District 15,Jon Carpenter,Democratic,"3,757","3,757",100.000,17 of 17 Precincts Reported,"6,760"
state-representative-district-16,State Representative - District 16,Noel J Shull,Republican,"3,765","3,765",100.000,16 of 16 Precincts Reported,"7,371"
state-representative-district-16,State Representative - District 16,Tom Gorenc,Democratic,"3,606","3,606",100.000,16 of 16 Precincts Reported,"7,371"
state-representative-district-17,State Representative - District 17,Mary Hill,Republican,"2,769","2,769",100.000,18 of 18 Precincts Reported,"6,409"
state-representative-district-17,State Representative - District 17,Mark Ellebracht,Democratic,"3,640","3,640",100.000,18 of 18 Precincts Reported,"6,409"
state-representative-district-18,State Representative - District 18,Sarah Mills,Republican,"2,339","2,339",100.000,17 of 17 Precincts Reported,"6,277"
state-representative-district-18,State Representative - District 18,Wes Rogers,Democratic,"3,938","3,938",100.000,17 of 17 Precincts Reported,"6,277"
state-representative-district-19,State Representative - District 19,Ingrid Burnett,Democratic,"1,799","1,799",100.000,14 of 14 Precincts Reported,"1,816"
state-representative-district-19,State Representative - District 19,Val Engholm,Green,17,17,100.000,14 of 14 Precincts Reported,"1,816"
state-representative-district-20,State Representative - District 20,Bill E. Kidd,Republican,"3,113","3,113",100.000,23 of 23 Precincts Reported,"6,141"
state-representative-district-20,State Representative - District 20,Jessica Merrick,Democratic,"3,028","3,028",100.000,23 of 23 Precincts Reported,"6,141"
state-representative-district-21,State Representative - District 21,Dan O'Neill,Democratic,364,"2,653",13.720,17 of 17 Precincts Reported,"2,653"
state-representative-district-21,State Representative - District 21,Holmes Osborne,Democratic,948,"2,653",35.733,17 of 17 Precincts Reported,"2,653"
state-representative-district-21,State Representative - District 21,Robert Sauls,Democratic,"1,341","2,653",50.547,17 of 17 Precincts Reported,"2,653"
state-representative-district-22,State Representative - District 22,Brandon Ellington,Democratic,"3,695","3,695",100.000,24 of 24 Precincts Reported,"3,695"
state-representative-district-23,State Representative - District 23,David Martin,Republican,140,140,100.000,15 of 15 Precincts Reported,"3,014"
state-representative-district-23,State Representative - District 23,Barbara Anne Washington,Democratic,"2,874","2,874",100.000,15 of 15 Precincts Reported,"3,014"
state-representative-district-24,State Representative - District 24,Judy Morgan,Democratic,"6,611","6,611",100.000,15 of 15 Precincts Reported,"6,611"
state-representative-district-25,State Representative - District 25,Greg Razer,Democratic,"7,776","7,776",100.000,16 of 16 Precincts Reported,"7,776"
state-representative-district-26,State Representative - District 26,Dylan Burd,Democratic,434,"6,111",7.102,17 of 17 Precincts Reported,"6,111"
state-representative-district-26,State Representative - District 26,Edward Bell,Democratic,"1,003","6,111",16.413,17 of 17 Precincts Reported,"6,111"
state-representative-district-26,State Representative - District 26,Ashley Bland Manlove,Democratic,"4,674","6,111",76.485,17 of 17 Precincts Reported,"6,111"
state-representative-district-27,State Representative - District 27,Richard Brown,Democratic,"4,106","4,106",100.000,19 of 19 Precincts Reported,"4,106"
state-representative-district-28,State Representative - District 28,Jerome Barnes,Democratic,"3,767","4,591",82.052,19 of 19 Precincts Reported,"4,653"
state-representative-district-28,State Representative - District 28,Shea Tan Henderson,Democratic,824,"4,591",17.948,19 of 19 Precincts Reported,"4,653"
state-representative-district-28,State Representative - District 28,Jeremy T Utterback,Libertarian,62,62,100.000,19 of 19 Precincts Reported,"4,653"
state-representative-district-29,State Representative - District 29,Rory Rowland,Democratic,"4,126","4,126",100.000,17 of 17 Precincts Reported,"4,126"
state-representative-district-30,State Representative - District 30,James L. Lowman,Republican,463,"4,658",9.940,23 of 23 Precincts Reported,"8,647"
state-representative-district-30,State Representative - District 30,Jon Patterson,Republican,"2,568","4,658",55.131,23 of 23 Precincts Reported,"8,647"
state-representative-district-30,State Representative - District 30,Chris Hankins,Republican,"1,627","4,658",34.929,23 of 23 Precincts Reported,"8,647"
state-representative-district-30,State Representative - District 30,Ryana Parks-Shaw,Democratic,"3,939","3,939",100.000,23 of 23 Precincts Reported,"8,647"
state-representative-district-30,State Representative - District 30,Brad Eichstadt,Libertarian,50,50,100.000,23 of 23 Precincts Reported,"8,647"
state-representative-district-31,State Representative - District 31,Dan Stacy,Republican,"3,626","3,626",100.000,18 of 18 Precincts Reported,"6,906"
state-representative-district-31,State Representative - District 31,Travis Hagewood,Democratic,"3,280","3,280",100.000,18 of 18 Precincts Reported,"6,906"
state-representative-district-32,State Representative - District 32,Jeff Coleman,Republican,"3,792","3,792",100.000,17 of 17 Precincts Reported,"6,779"
state-representative-district-32,State Representative - District 32,Janice Brill,Democratic,"2,987","2,987",100.000,17 of 17 Precincts Reported,"6,779"
state-representative-district-33,State Representative - District 33,Donna Pfautsch,Republican,"4,341","4,341",100.000,32 of 32 Precincts Reported,"6,914"
state-representative-district-33,State Representative - District 33,Matthew Simmons,Democratic,"1,165","2,573",45.278,32 of 32 Precincts Reported,"6,914"
state-representative-district-33,State Representative - District 33,Pat Williams,Democratic,"1,408","2,573",54.722,32 of 32 Precincts Reported,"6,914"
state-representative-district-34,State Representative - District 34,Rebecca Roeber,Republican,"3,222","3,222",100.000,17 of 17 Precincts Reported,"6,429"
state-representative-district-34,State Representative - District 34,James P. (Jim) Ripley,Democratic,"3,207","3,207",100.000,17 of 17 Precincts Reported,"6,429"
state-representative-district-35,State Representative - District 35,Tom Lovell,Republican,"1,848","3,621",51.036,20 of 20 Precincts Reported,"7,565"
state-representative-district-35,State Representative - District 35,Sean Smith,Republican,"1,773","3,621",48.964,20 of 20 Precincts Reported,"7,565"
state-representative-district-35,State Representative - District 35,Keri Ingle,Democratic,"3,944","3,944",100.000,20 of 20 Precincts Reported,"7,565"
state-representative-district-36,State Representative - District 36,DaRon McGee,Democratic,"4,343","4,343",100.000,19 of 19 Precincts Reported,"4,385"
state-representative-district-36,State Representative - District 36,Timothy Peterman,Libertarian,42,42,100.000,19 of 19 Precincts Reported,"4,385"
state-representative-district-37,State Representative - District 37,John D Boyd Jr,Republican,"2,122","2,122",100.000,20 of 20 Precincts Reported,"6,076"
state-representative-district-37,State Representative - District 37,Joe Runions,Democratic,"3,954","3,954",100.000,20 of 20 Precincts Reported,"6,076"
state-representative-district-38,State Representative - District 38,Doug Richey,Republican,"3,778","3,778",100.000,22 of 22 Precincts Reported,"6,818"
state-representative-district-38,State Representative - District 38,Abby Zavos,Democratic,"3,040","3,040",100.000,22 of 22 Precincts Reported,"6,818"
state-representative-district-39,State Representative - District 39,Peggy McGaugh,Republican,"4,663","4,663",100.000,39 of 39 Precincts Reported,"7,446"
state-representative-district-39,State Representative - District 39,Rick Mellon,Democratic,"2,783","2,783",100.000,39 of 39 Precincts Reported,"7,446"
state-representative-district-40,State Representative - District 40,Jim Hansen,Republican,"4,194","4,194",100.000,35 of 35 Precincts Reported,"4,194"
state-representative-district-41,State Representative - District 41,Randy Pietzman,Republican,"6,979","6,979",100.000,19 of 19 Precincts Reported,"9,512"
state-representative-district-41,State Representative - District 41,David A Beckham,Democratic,"2,533","2,533",100.000,19 of 19 Precincts Reported,"9,512"
